episode,total_reward
758,-4.2489792508897715
759,-2.4226776539221873
760,-3.3676067826131564
761,-2.9362094756411734
762,-3.390549109727023
763,-3.2109425528665057
764,-2.7571553540733453
765,-2.308188427591806
766,-2.2238442274551393
767,-3.2940826567664736
768,-2.709996884209061
769,-3.9463978999634923
770,-3.585391891404135
771,-2.992094673421576
772,-2.776626553293558
773,-3.138988563599213
774,-2.530035998117505
775,-2.523063952177868
776,-1.9914481821843881
777,-3.8762989451983962
778,-3.785720924895393
779,-3.8531286916933314
780,-2.518151666737123
781,-2.9089725161666293
782,-3.111158294794912
783,-1.420877226176517
784,-2.7085128596563908
785,-3.9944882794961583
786,-3.94129426882692
787,-2.6495607480338252
788,-2.3562837089270277
789,-4.225428714935382
790,-3.7601256470186177
791,-2.418223223512968
792,-3.0395160567332558
793,-2.6749202305861335
794,-3.9706218126255295
795,-3.118856256328449
796,-2.91362916413458
797,-2.921112293064345
798,-2.3887171831411456
799,-2.3641905946622663
800,-2.6899348014879405
801,-3.148517717383397
802,-3.0567317105327882
803,-2.5079256041992775
804,-1.9361262874010166
805,-3.5676589680981072
806,-2.4214642668782727
807,-3.718653118509748
808,-3.9047588264986297
809,-3.8641402066104336
810,-3.139041460674016
811,-3.2067421269458896
812,-2.856539213643905
813,-3.2699353647465537
814,-3.274527611385019
815,-3.523286630795324
816,-2.1537306600300443
817,-3.025261520418923
818,-4.049659116752227
819,-3.8703439274772364
820,-3.328086015542077
821,-2.765591648208018
822,-2.6528461767324103
823,-3.4082648701167035
824,-2.537454082162825
825,-2.9862232350547324
826,-4.665598773487011
827,-2.6261274756289525
828,-4.064474750611383
829,-3.0776248285031507
830,-2.922406364643498
831,-4.156625249044177
832,-2.8263947725676335
833,-2.7043855112739577
834,-3.4909381378767215
835,-2.342679056038362
836,-2.844086689407466
837,-4.271512731788727
838,-4.777363277446705
839,-3.6299820163900467
840,-2.098267464077599
841,-2.120753501580649
842,-3.0267527693015173
843,-4.106000134862795
844,-3.574045638185997
845,-3.8032672237263734
846,-3.8883244066026057
847,-2.387306031084898
848,-3.1911131878487726
849,-2.3278788392012255
850,-3.0073283229803502
851,-1.6428646358538948
852,-3.0427371900047833
853,-4.062124552042588
854,-2.46636816292998
855,-2.077371526480325
856,-2.5358541374913104
857,-3.478849478228638
858,-2.932841198793627
859,-2.797757852398258
860,-3.2245242380868353
861,-2.8695612595891107
862,-3.0365666484766525
863,-2.9315200360599305
864,-2.36725322992537
865,-2.531629337588736
866,-2.5682589385694325
867,-3.1543367816088974
868,-3.61920852362654
869,-3.2327872192863074
870,-2.935958688470209
871,-3.010849854107541
872,-1.9901984339283572
873,-2.365931554242424
874,-2.629446272024551
875,-3.3831285177495665
876,-3.472932567487733
877,-3.7150738026365513
878,-4.670924044252462
879,-2.178225279930917
880,-2.4184461265164483
881,-5.082658429495367
882,-2.3112020254225727
883,-3.585801326024731
884,-3.056044849725162
885,-3.7589534950730266
886,-4.842015628669684
887,-2.0903665406761025
888,-2.5243095959774187
889,-2.683152635308251
890,-3.1716224084551436
891,-3.1678030934062757
892,-3.787893302338653
893,-2.537599354137061
894,-3.3855280843278024
895,-2.8815361551523893
896,-2.3239331942031933
897,-2.551415661451546
898,-4.013958300158669
899,-1.6511774227430016
900,-4.130907677364295
901,-3.158060075728706
902,-2.157106828012826
903,-3.857238416436801
904,-2.1059393272086275
905,-3.8050962308559577
906,-2.0841372649182053
907,-4.710922112561615
908,-2.5074329535952247
909,-3.4373810417299024
910,-2.000817377573273
911,-3.202876644093564
912,-2.7258629039217666
913,-3.175189612923596
914,-3.604399592460688
915,-2.2417550599468377
916,-2.7624942016727347
917,-3.0686948700067083
918,-2.708675637179831
919,-2.7632208960696856
920,-1.4776130927365987
921,-2.778149160993643
922,-2.8921039476715245
923,-2.4319246815986872
924,-2.1718784198458674
925,-2.149549356935526
926,-2.9279714345679615
927,-3.8329862387932576
928,-4.724727948636355
929,-3.639331685486335
930,-3.057581030128775
931,-2.5437157621468205
932,-2.3361468803120924
933,-3.0170033989093303
934,-3.6221593058317736
935,-3.4153937971732127
936,-3.408406931095113
937,-5.26275520890468
938,-1.3718653539097834
939,-3.3107114522879826
940,-3.2254289317373877
941,-3.1249217586636933
942,-4.647144292851102
943,-3.176950126335053
944,-4.942076835444856
945,-4.1500446164601295
946,-1.96139266700248
947,-2.7509753174317457
948,-3.624043369912626
949,-2.4562488155860622
950,-3.0856402533050495
951,-2.7677604633426673
952,-3.3913507469636963
953,-3.666046691936012
954,-3.440804294446963
955,-3.4032134100028806
956,-1.951400214721934
957,-3.2341808887775767
958,-2.469701589676453
959,-1.9799033240305821
960,-3.105773728889472
961,-4.607094261700993
962,-4.175006470362785
963,-3.679262322503064
964,-2.826410145781118
965,-2.5943838280475777
966,-2.974023669955199
967,-2.694261700882778
968,-3.0917435260548496
969,-3.6292613629213633
970,-3.2467460804555004
971,-3.9313801990596713
972,-1.8819688347708974
973,-2.396069886708175
974,-3.8874303575901887
975,-4.139773068262366
976,-2.2388583280953647
977,-2.1337403608634706
978,-1.4152583174403293
979,-2.8799372261180634
980,-3.5671456159741735
981,-3.54898167229804
982,-2.3076504563116313
983,-3.2943428025987322
984,-2.530016838222557
985,-2.2940675469354934
986,-3.8335018429077703
987,-2.927205477192188
988,-3.989083795313248
989,-3.1605448551011284
990,-2.2614240027547687
991,-3.8306405111258153
992,-2.6473343961659803
993,-2.9222439287311057
994,-3.074897292279694
995,-1.6019034928531402
996,-2.511784226797471
997,-3.185858740732208
998,-3.2537946337389454
999,-3.6941894923655445
1000,-2.9640118933600776
1001,-3.3022748008361487
1002,-5.024990795409892
1003,-4.1283172812740645
1004,-2.692830423556492
1005,-2.595385486503854
1006,-3.554682502761944
1007,-2.561635576689871
1008,-3.1745891594447895
1009,-3.035600664671543
1010,-2.8303175925327606
1011,-2.6118202265974446
1012,-3.2473049138715266
1013,-2.6672827973704356
1014,-2.725473179149094
1015,-2.513769316912222
1016,-3.3076019923131494
1017,-2.580374843575413
1018,-2.538606628823364
1019,-3.168444997545286
1020,-3.000319081808829
1021,-3.446456990004532
1022,-3.9880381234740545
1023,-3.4799821502215806
1024,-2.9686961681464266
1025,-3.971739657695589
1026,-3.779578046433387
1027,-3.7132385142484754
1028,-3.3227742801449733
1029,-2.799944382448456
1030,-2.170797611753446
1031,-2.8902615601584665
1032,-2.804568983709262
